,Name,CurrentSalary,CurrentTeam
0,Pascal Siakam,"$37,893,408",TOR
1,Gary Trent Jr.,"$18,785,000",TOR
2,OG Anunoby,"$18,642,857",TOR
3,Chris Boucher,"$11,750,000",TOR
4,Scottie Barnes,"$8,008,680",TOR
5,Thaddeus Young,"$8,000,000",TOR
6,Otto Porter Jr.,"$6,300,000",TOR
7,Gradey Dick,"$4,536,720",TOR
8,Precious Achiuwa,"$4,379,527",TOR
9,Malachi Flynn,"$3,873,025",TOR
10,Joe Wieskamp,"$1,927,896",TOR
11,Christian Koloko,"$1,719,864",TOR
0,Ja Morant,"$33,500,000",MEM
1,Jaren Jackson Jr.,"$27,102,202",MEM
2,Marcus Smart,"$18,583,713",MEM
3,Luke Kennard,"$15,418,363",MEM
4,Steven Adams,"$12,600,000",MEM
5,Brandon Clarke,"$12,500,000",MEM
6,Ziaire Williams,"$4,810,200",MEM
7,Desmond Bane,"$3,845,083",MEM
8,Jake LaRavia,"$3,199,920",MEM
9,David Roddy,"$2,718,240",MEM
10,Josh Christopher,"$2,485,200",MEM
11,John Konchar,"$2,400,000",MEM
12,Santi Aldama,"$2,194,200",MEM
13,Xavier Tillman Sr.,"$1,930,681",MEM
14,Isaiah Todd,"$1,836,096",MEM
18,Kennedy Chandler,"$1,719,864",MEM
0,Jimmy Butler,"$45,183,960",MIA
1,Bam Adebayo,"$32,600,060",MIA
2,Kyle Lowry,"$29,682,540",MIA
3,Tyler Herro,"$27,000,000",MIA
4,Duncan Robinson,"$18,154,000",MIA
5,Caleb Martin,"$6,802,950",MIA
6,Jaime Jaquez Jr.,"$3,510,600",MIA
7,Nikola Jović,"$2,352,000",MIA
8,Haywood Highsmith,"$1,902,137",MIA
0,Ben Simmons,"$37,893,408",BRK
1,Mikal Bridges,"$21,700,000",BRK
2,Spencer Dinwiddie,"$20,357,143",BRK
3,Dorian Finney-Smith,"$13,932,008",BRK
4,Royce O'Neale,"$9,500,000",BRK
5,Nic Claxton,"$8,750,000",BRK
6,Noah Clowney,"$3,089,520",BRK
7,Dariq Whitehead,"$2,966,040",BRK
8,Cam Thomas,"$2,240,160",BRK
9,Edmond Sumner,"$2,239,943",BRK
10,Day'Ron Sharpe,"$2,210,040",BRK
0,CJ McCollum,"$35,802,469",NOP
1,Brandon Ingram,"$33,833,400",NOP
2,Zion Williamson,"$33,500,000",NOP
3,Jonas Valančiūnas,"$15,435,000",NOP
